,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,hilo,90.0,US,1567899295.0,78.0,19.71,-155.08,82.99,8.05
374,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
375,thompson,75.0,CA,1567899288.0,59.0,55.74,-97.86,60.8,8.05
376,jamestown,81.0,SH,1567899307.0,77.0,-15.94,-5.72,66.83,14.58
377,port alfred,0.0,ZA,1567899297.0,89.0,-33.59,26.89,55.99,10.29
378,barrow,1.0,US,1567899291.0,65.0,39.51,-90.4,77.0,4.43
379,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
380,alice springs,0.0,AU,1567899060.0,26.0,-23.7,133.88,59.0,11.41
381,fortuna foothills,1.0,US,1567899329.0,21.0,32.66,-114.41,107.6,11.41
382,ilulissat,19.0,GL,1567899325.0,74.0,69.22,-51.1,37.4,7.0
383,yellowknife,75.0,CA,1567899304.0,58.0,62.45,-114.38,55.4,3.31
384,paita,0.0,PE,1567899304.0,290.0,-5.09,-81.11,62.6,16.11
386,castro,0.0,CL,1567899316.0,93.0,-42.48,-73.76,44.6,5.82
388,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
389,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
390,hofn,100.0,IS,1567899170.0,99.0,64.25,-15.21,41.27,5.01
391,ndele,100.0,CF,1567899330.0,94.0,8.41,20.65,70.43,1.74
392,saint-philippe,90.0,RE,1567899289.0,68.0,-21.36,55.77,71.6,25.28
393,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
395,mount pleasant,1.0,US,1567899330.0,79.0,32.79,-79.86,87.01,5.82
396,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
397,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
398,bathsheba,20.0,BB,1567899330.0,78.0,13.22,-59.52,82.4,4.7
400,klaksvik,86.0,FO,1567899331.0,93.0,62.23,-6.59,51.8,13.87
401,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
402,abu kamal,0.0,SY,1567899331.0,57.0,34.45,40.92,75.29,20.0
403,vanimo,53.0,PG,1567899331.0,76.0,-2.67,141.3,80.33,5.79
404,teguldet,14.0,RU,1567899331.0,82.0,57.31,88.17,42.17,4.0
405,bluff,89.0,NZ,1567899297.0,85.0,-46.6,168.33,41.0,1.99
406,kaeo,0.0,NZ,1567899331.0,62.0,-35.1,173.78,69.01,13.0
407,buala,100.0,SB,1567899331.0,86.0,-8.15,159.59,78.71,8.25
408,cape town,0.0,ZA,1567899044.0,49.0,-33.93,18.42,69.01,10.29
409,bobrovka,10.0,RU,1567899332.0,68.0,52.3,45.54,52.07,3.27
410,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
411,price,20.0,US,1567899332.0,21.0,39.6,-110.81,84.0,5.82
413,new norfolk,75.0,AU,1567899292.0,81.0,-42.78,147.06,48.99,8.05
414,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
415,hofn,100.0,IS,1567899170.0,99.0,64.25,-15.21,41.27,5.01
416,coos bay,90.0,US,1567899311.0,72.0,43.37,-124.22,71.01,9.17
417,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
418,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
419,torbay,75.0,CA,1567899332.0,87.0,47.66,-52.73,57.99,25.28
420,longyearbyen,75.0,SJ,1567899333.0,74.0,78.22,15.64,37.4,20.8
421,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
422,tiksi,99.0,RU,1567899333.0,79.0,71.64,128.87,39.83,9.22
423,castro,0.0,CL,1567899316.0,93.0,-42.48,-73.76,44.6,5.82
424,puerto ayora,0.0,EC,1567899294.0,53.0,-0.74,-90.35,75.2,20.8
425,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
427,lavrentiya,100.0,RU,1567899321.0,97.0,65.58,-170.99,46.13,8.5
428,hualmay,1.0,PE,1567899333.0,89.0,-11.1,-77.61,60.17,18.25
429,jamestown,81.0,SH,1567899307.0,77.0,-15.94,-5.72,66.83,14.58
430,chuy,100.0,UY,1567899324.0,98.0,-33.69,-53.46,60.17,5.57
431,aklavik,20.0,CA,1567899286.0,52.0,68.22,-135.01,68.0,9.17
432,sambava,98.0,MG,1567899334.0,81.0,-14.27,50.17,65.39,2.26
433,flinders,0.0,AU,1567899334.0,35.0,-34.58,150.85,57.99,19.46
434,atar,7.0,MR,1567899334.0,34.0,20.52,-13.05,93.65,2.13
435,awjilah,0.0,LY,1567899320.0,68.0,29.14,21.3,74.93,8.9
436,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
437,tuktoyaktuk,20.0,CA,1567899288.0,52.0,69.44,-133.03,66.2,12.75
438,sarangani,65.0,PH,1567899334.0,73.0,5.4,125.46,82.85,7.43
439,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
440,barrow,1.0,US,1567899291.0,65.0,39.51,-90.4,77.0,4.43
441,kokstad,3.0,ZA,1567899335.0,57.0,-30.55,29.42,47.75,6.08
442,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
443,saint-pierre,100.0,PM,1567899335.0,80.0,46.77,-56.17,57.83,45.14
444,souillac,40.0,MU,1567899335.0,78.0,-20.52,57.52,73.4,13.87
445,ketchikan,20.0,US,1567899174.0,63.0,55.34,-131.65,66.2,11.41
446,qaanaaq,13.0,GL,1567899311.0,49.0,77.48,-69.36,24.53,6.42
447,severo-kurilsk,100.0,RU,1567899289.0,92.0,50.68,156.12,52.07,24.65
449,sovetskiy,100.0,RU,1567899335.0,80.0,56.76,48.47,54.95,3.8
450,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
451,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
452,perene,83.0,PE,1567899336.0,93.0,-10.95,-75.23,49.91,2.55
453,guerrero negro,2.0,MX,1567899287.0,82.0,27.97,-114.04,71.87,19.95
454,puerto ayora,0.0,EC,1567899294.0,53.0,-0.74,-90.35,75.2,20.8
455,mazamari,87.0,PE,1567899336.0,92.0,-11.33,-74.53,40.37,4.03
456,port elizabeth,0.0,ZA,1567899336.0,87.0,-33.92,25.57,59.0,2.24
458,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
460,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
461,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
462,mar del plata,22.0,AR,1567899289.0,57.0,-46.43,-67.52,45.77,5.82
463,kargasok,7.0,RU,1567899337.0,88.0,59.06,80.87,43.25,4.27
464,shestakovo,15.0,RU,1567899337.0,92.0,56.49,103.96,42.53,3.0
465,khatanga,90.0,RU,1567899316.0,92.0,71.98,102.47,52.07,16.84
466,nikolskoye,92.0,RU,1567899286.0,87.0,59.7,30.79,48.99,3.22
467,hasaki,20.0,JP,1567899317.0,79.0,35.73,140.83,84.2,6.93
468,mehamn,42.0,NO,1567899337.0,79.0,71.03,27.85,41.09,7.83
469,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
470,hobart,75.0,AU,1567899307.0,81.0,-42.88,147.33,48.99,8.05
471,camabatela,99.0,AO,1567899337.0,89.0,-8.19,15.37,67.37,3.04
472,san carlos de bariloche,75.0,AR,1567899338.0,83.0,-41.13,-71.31,41.0,14.99
473,kapaa,20.0,US,1567899011.0,59.0,22.08,-159.32,89.6,17.22
474,waipawa,100.0,NZ,1567899338.0,79.0,-39.94,176.59,46.0,2.39
475,torbay,75.0,CA,1567899332.0,87.0,47.66,-52.73,57.99,25.28
477,luganville,75.0,VU,1567899328.0,57.0,-15.51,167.18,80.6,6.93
479,magomeni,0.0,TZ,1567899338.0,90.0,-6.8,39.25,67.19,4.94
480,mildura,90.0,AU,1567899288.0,76.0,-34.18,142.16,54.0,10.29
481,atar,7.0,MR,1567899334.0,34.0,20.52,-13.05,93.65,2.13
482,ahipara,0.0,NZ,1567899315.0,96.0,-35.17,173.16,69.01,20.67
483,bluff,89.0,NZ,1567899297.0,85.0,-46.6,168.33,41.0,1.99
484,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
485,benguela,90.0,AO,1567899339.0,90.0,-12.58,13.4,69.53,9.04
486,rongcheng,0.0,CN,1567899339.0,45.0,37.16,122.42,71.01,1.99
487,kapaa,20.0,US,1567899011.0,59.0,22.08,-159.32,89.6,17.22
488,bilma,22.0,NE,1567899339.0,33.0,18.69,12.92,89.51,0.43
490,mar del plata,22.0,AR,1567899289.0,57.0,-46.43,-67.52,45.77,5.82
491,vostok,100.0,RU,1567899339.0,71.0,46.45,135.83,75.11,10.98
492,sao filipe,17.0,CV,1567899323.0,82.0,14.9,-24.5,81.05,6.67
494,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
495,butia,0.0,BR,1567899340.0,73.0,-21.88,-47.57,71.6,2.24
496,qaanaaq,13.0,GL,1567899311.0,49.0,77.48,-69.36,24.53,6.42
497,morro da fumaca,100.0,BR,1567899340.0,84.0,-28.65,-49.21,65.03,3.85
498,zavyalovo,50.0,RU,1567899340.0,100.0,54.51,82.45,42.8,2.24
499,bambous virieux,40.0,MU,1567899292.0,78.0,-20.34,57.76,73.4,13.87
501,mahalapye,0.0,BW,1567899341.0,79.0,-23.11,26.83,45.59,12.19
502,buraydah,0.0,SA,1567899341.0,27.0,26.33,43.97,89.6,14.99
504,east london,0.0,ZA,1567899341.0,35.0,-33.02,27.91,65.93,4.74
506,chapais,90.0,CA,1567899341.0,71.0,49.78,-74.86,51.8,6.93
507,bambous virieux,40.0,MU,1567899292.0,78.0,-20.34,57.76,73.4,13.87
508,masallatah,23.0,LY,1567899342.0,78.0,32.62,14.0,69.71,6.69
509,fortuna,90.0,US,1567899342.0,68.0,40.6,-124.16,68.0,9.17
510,avarua,100.0,CK,1567899254.0,78.0,-21.21,-159.78,78.8,10.29
511,jamestown,81.0,SH,1567899307.0,77.0,-15.94,-5.72,66.83,14.58
512,navahrudak,100.0,BY,1567899342.0,84.0,53.59,25.82,58.55,10.71
513,kaoma,0.0,ZM,1567899342.0,59.0,-14.8,24.8,59.45,9.35
514,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
515,port alfred,0.0,ZA,1567899297.0,89.0,-33.59,26.89,55.99,10.29
516,alyangula,17.0,AU,1567899342.0,78.0,-13.85,136.42,75.2,8.05
517,cartagena,75.0,CO,1567899343.0,68.0,5.03,-75.64,89.6,6.93
519,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
520,port macquarie,0.0,AU,1567899343.0,29.0,-31.43,152.91,66.99,16.11
521,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
522,toba,75.0,JP,1567899343.0,74.0,34.47,136.83,82.4,5.82
523,maine-soroa,87.0,NE,1567899343.0,52.0,13.21,12.02,82.67,7.49
524,rocha,100.0,UY,1567899343.0,98.0,-34.48,-54.34,56.75,4.27
525,longyearbyen,75.0,SJ,1567899333.0,74.0,78.22,15.64,37.4,20.8
526,dali,99.0,CN,1567899344.0,97.0,25.6,100.24,60.35,3.51
527,faro,0.0,PT,1567899344.0,69.0,37.02,-7.94,75.2,6.93
528,torbay,75.0,CA,1567899332.0,87.0,47.66,-52.73,57.99,25.28
529,puerto ayora,0.0,EC,1567899294.0,53.0,-0.74,-90.35,75.2,20.8
530,hermanus,0.0,ZA,1567899291.0,39.0,-34.42,19.24,73.99,5.01
531,hillsboro,1.0,US,1567899270.0,60.0,39.16,-89.49,75.2,5.82
532,avarua,100.0,CK,1567899254.0,78.0,-21.21,-159.78,78.8,10.29
533,fushe-arrez,16.0,AL,1567899344.0,78.0,42.06,20.02,59.27,1.39
534,calatayud,0.0,ES,1567899345.0,77.0,41.35,-1.64,68.0,5.82
535,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
536,khatanga,90.0,RU,1567899316.0,92.0,71.98,102.47,52.07,16.84
537,manosque,0.0,FR,1567899293.0,42.0,43.83,5.78,68.0,13.87
538,kaduqli,70.0,SD,1567899345.0,75.0,11.01,29.72,73.49,2.13
539,saint-philippe,90.0,RE,1567899289.0,68.0,-21.36,55.77,71.6,25.28
540,qaanaaq,13.0,GL,1567899311.0,49.0,77.48,-69.36,24.53,6.42
541,port hardy,75.0,CA,1567899345.0,87.0,50.7,-127.42,59.0,3.36
542,los llanos de aridane,40.0,ES,1567899322.0,60.0,28.66,-17.92,73.4,6.93
543,bethel,75.0,US,1567899312.0,67.0,60.79,-161.76,59.0,18.34
544,dire,100.0,ML,1567899345.0,95.0,12.28,-10.97,74.93,1.1
545,kyabe,94.0,TD,1567899346.0,90.0,9.45,18.94,71.87,1.83
546,hofn,100.0,IS,1567899170.0,99.0,64.25,-15.21,41.27,5.01
547,chicama,20.0,PE,1567899346.0,88.0,-7.84,-79.15,62.6,10.29
548,mar del plata,22.0,AR,1567899289.0,57.0,-46.43,-67.52,45.77,5.82
549,butaritari,33.0,KI,1567899310.0,60.0,3.07,172.79,84.47,3.13
551,torbay,75.0,CA,1567899332.0,87.0,47.66,-52.73,57.99,25.28
552,atuona,0.0,PF,1567899295.0,74.0,-9.8,-139.03,78.71,13.27
553,svetlogorsk,75.0,RU,1567899346.0,93.0,53.14,59.15,48.2,4.47
554,derzhavinsk,93.0,KZ,1567899347.0,93.0,51.1,66.31,50.45,8.66
555,lebu,36.0,CL,1567899347.0,79.0,-37.62,-73.65,50.99,6.64
556,makaha,20.0,US,1567899347.0,51.0,21.47,-158.22,91.4,17.22
557,labuhan,6.0,ID,1567899347.0,68.0,-2.54,115.51,80.15,0.31
558,port blair,100.0,IN,1567899180.0,82.0,11.67,92.75,82.13,17.67
559,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
560,wagga wagga,90.0,AU,1567899347.0,81.0,-35.12,147.37,48.99,17.22
561,severo-kurilsk,100.0,RU,1567899289.0,92.0,50.68,156.12,52.07,24.65
562,sanmenxia,0.0,CN,1567899348.0,41.0,34.77,111.19,77.09,2.89
563,tautira,20.0,PF,1567899348.0,47.0,-17.73,-149.15,78.8,11.41
566,lazaro cardenas,75.0,MX,1567899348.0,51.0,28.39,-105.62,80.6,10.29
567,binzhou,0.0,CN,1567899348.0,67.0,37.38,117.96,77.0,9.48
568,ponta do sol,20.0,CV,1567899296.0,83.0,17.2,-25.09,80.6,14.99
569,kapaa,20.0,US,1567899011.0,59.0,22.08,-159.32,89.6,17.22
570,urusha,97.0,RU,1567899348.0,95.0,54.05,122.9,51.53,8.97
572,cherskiy,100.0,RU,1567899322.0,79.0,68.75,161.3,40.73,13.8
573,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
574,matelandia,0.0,BR,1567899349.0,40.0,-25.24,-54.0,86.0,9.17
575,vardo,24.0,NO,1567899319.0,67.0,70.37,31.11,44.69,7.76
576,manicore,78.0,BR,1567899349.0,84.0,-5.81,-61.3,75.29,2.24
577,ponta do sol,20.0,CV,1567899296.0,83.0,17.2,-25.09,80.6,14.99
578,oranjemund,0.0,NA,1567899349.0,69.0,-28.55,16.43,60.35,5.32
580,vestmanna,84.0,FO,1567899317.0,93.0,62.16,-7.17,51.8,13.87
582,atuona,0.0,PF,1567899295.0,74.0,-9.8,-139.03,78.71,13.27
583,okhotsk,46.0,RU,1567899350.0,40.0,59.36,143.24,57.11,7.83
584,bluff,89.0,NZ,1567899297.0,85.0,-46.6,168.33,41.0,1.99
585,guaymas,98.0,MX,1567899213.0,54.0,27.92,-110.9,91.0,10.0
587,srednekolymsk,0.0,RU,1567899310.0,52.0,67.46,153.71,45.23,5.46
588,geraldton,0.0,AU,1567899310.0,93.0,-28.77,114.6,44.6,6.93
589,ahuimanu,75.0,US,1567899350.0,58.0,21.44,-157.84,91.4,12.75
590,taltal,93.0,CL,1567899350.0,77.0,-25.41,-70.49,51.17,1.41
591,hilo,90.0,US,1567899295.0,78.0,19.71,-155.08,82.99,8.05
592,jamestown,81.0,SH,1567899307.0,77.0,-15.94,-5.72,66.83,14.58
593,castro,0.0,CL,1567899316.0,93.0,-42.48,-73.76,44.6,5.82
594,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
595,bokajan,100.0,IN,1567899351.0,97.0,26.02,93.78,74.03,0.81
596,touros,75.0,BR,1567899351.0,100.0,-5.2,-35.46,73.4,5.82
597,kamsack,1.0,CA,1567899285.0,42.0,51.56,-101.9,62.6,4.7
598,longyearbyen,75.0,SJ,1567899333.0,74.0,78.22,15.64,37.4,20.8
599,abong mbang,98.0,CM,1567899351.0,99.0,3.98,13.18,67.19,2.55
